Studio,Country,Founded,lat,lon
Smallfilms,United Kingdom,1959,54.7023545,-3.2765753
Sony Pictures Animation,United States,2002,39.7837304,-100.445882
Sony Pictures Imageworks,United States,1992,39.7837304,-100.445882
Soyuzmultfilm,Russia,1936,64.6863136,97.7453061
Sparky Animation,Singapore,2006,1.357107,103.8194992
Sparx*,China,1995,35.0000663,104.999955
Sparx*,Vietnam,1995,15.9266657,107.9650855
Splash Entertainment,United States,1992,39.7837304,-100.445882
Spümtwo,United States,2016,39.7837304,-100.445882
Spy Pictures,United Kingdom,1999,54.7023545,-3.2765753
Stretch Films,United States,1991,39.7837304,-100.445882
Studio 4°C,Japan,1986,36.5748441,139.2394179
Studio AKA,United Kingdom,1989,54.7023545,-3.2765753
Studio B Productions,Canada,1988,61.0666922,-107.991707
Studio Bind,Japan,2018,36.5748441,139.2394179
Studio Chizu,Japan,2011,36.5748441,139.2394179
Studio Comet,Japan,1986,36.5748441,139.2394179
Studio DEEN,Japan,1975,36.5748441,139.2394179
Studio Durga,India,2017,22.3511148,78.6677428
Studio Fantasia,Japan,1983,36.5748441,139.2394179
Studio Gallop,Japan,1972,36.5748441,139.2394179
Studio Ghibli,Japan,1984,36.5748441,139.2394179
Studio Gokumi,Japan,2010,36.5748441,139.2394179
Studio Hibari,Japan,1979,36.5748441,139.2394179
Studio Liddell,United Kingdom,1996,54.7023545,-3.2765753
Studio Mir,South Korea,2010,36.638392,127.6961188
Studio Pierrot,Japan,1979,36.5748441,139.2394179
Studio Ponoc,Japan,2015,36.5748441,139.2394179
Sunrise,Japan,1972,36.5748441,139.2394179
Sunrise Productions,South Africa,2003,-28.8166236,24.991639
Sunwoo Entertainment,South Korea,1974,36.638392,127.6961188
SynergySP,Japan,1998,36.5748441,139.2394179
Tatsunoko Productions,Japan,1962,36.5748441,139.2394179
Tau Films,United States,2014,39.7837304,-100.445882
Tezuka Productions,Japan,1968,36.5748441,139.2394179
The Animation Band,Italy,1996,42.6384261,12.674297
The Animation Picture Company,United States,2006,39.7837304,-100.445882
The Line (animation studio),United Kingdom,2013,54.7023545,-3.2765753
Titmouse,United States,1999,39.7837304,-100.445882
TMS Entertainment,Japan,1946,36.5748441,139.2394179
TNK,Japan,1999,36.5748441,139.2394179
Toei Animation,Japan,1948,36.5748441,139.2394179
Toon City Animation,Philippines,1993,12.7503486,122.7312101
ToonBangla,Bangladesh,2005,24.4769288,90.2934413
ToonBox Entertainment,Canada,2008,61.0666922,-107.991707
Toondra,Russia,2001,64.6863136,97.7453061
Toonz,India,1999,22.3511148,78.6677428
Toposodo,Italy,2005,42.6384261,12.674297
TRIGGER,Japan,2011,36.5748441,139.2394179
Triggerfish Animation Studios,South Africa,1996,-28.8166236,24.991639
Troyca,Japan,2013,36.5748441,139.2394179
TV PinGuim,Brazil,1989,-10.3333333,-53.2
TYO Animations,Japan,2009,36.5748441,139.2394179
Ufotable,Japan,2000,36.5748441,139.2394179
Universal Animation Studios,United States,1991,39.7837304,-100.445882
Vanguard Animation,United States,2002,39.7837304,-100.445882
Varga Studio,Hungary,1988,47.1817585,19.5060937
Vasoon Animation,China,1992,35.0000663,104.999955
